,task_type,number_of_peoples,estimated_time_in_minutes
2961,3,10,4368
2962,4,9,2217
2963,2,2,143
2964,1,9,235
2965,1,1,4212
2966,3,2,5327
2967,3,5,1151
2968,1,7,1206
2969,2,3,7682
2970,1,3,6416
2971,1,10,1884
2972,1,7,131
2973,2,10,1738
2974,3,3,270
2975,2,7,842
2976,1,10,541
2977,3,3,4020
2978,1,9,1525
2979,4,3,9156
2980,4,10,752
2981,4,1,62862
2982,4,3,2845
2983,1,10,600
2984,2,4,1191
2985,2,5,5199
2986,3,7,1928
2987,2,1,21984
2988,3,9,2876
2989,1,2,8603
2990,3,7,4316
2991,1,3,1939
2992,1,3,1914
2993,4,7,13385
2994,4,7,2792
2995,1,6,1106
2996,4,7,8740
2997,3,4,1969
2998,2,3,9916
2999,2,2,10408
3000,1,6,356
3001,2,4,6783
3002,1,10,361
3003,1,9,1809
3004,3,6,4005
3005,4,5,15916
3006,3,2,10748
3007,2,7,2108
3008,1,10,1777
3009,1,8,260
3010,1,10,679
3011,4,4,17328
3012,4,8,2488
3013,3,7,313
3014,1,7,288
3015,1,10,180
3016,1,9,2402
3017,4,6,7879
3018,2,2,8167
3019,4,1,43249
3020,1,7,1149
3021,2,3,9755
3022,2,1,31488
3023,3,1,21870
3024,2,4,840
3025,4,5,5079
3026,3,2,1437
3027,4,10,2517
3028,4,8,7687
3029,2,10,251
3030,2,7,250
3031,4,2,5000
3032,4,5,14422
3033,2,10,2033
3034,2,2,3603
3035,3,7,4917
3036,3,4,3639
3037,3,3,509
3038,2,5,1617
3039,1,4,2957
3040,3,1,4080
3041,2,2,8974
3042,1,1,18785
3043,3,10,578
3044,2,4,966
3045,2,7,1571
3046,2,9,2356
3047,3,6,1939
3048,1,10,306
3049,2,8,2346
3050,4,1,17315
3051,1,6,1805
3052,1,2,4787
3053,3,6,1552
3054,4,1,26051
3055,3,3,16650
3056,4,4,13709
3057,3,3,1688
3058,3,5,7228
3059,3,1,38009
3060,1,1,13754
3061,1,5,529
3062,1,3,3367
3063,3,7,4104
3064,2,9,176
3065,3,5,7582
3066,1,9,2353
3067,3,5,4548
3068,3,3,2761
3069,2,2,6765
3070,4,4,23687
3071,2,3,6041
3072,2,8,101
3073,1,6,2342
3074,3,6,5600
3075,2,5,2477
3076,4,7,7042
3077,4,4,11730
3078,1,6,207
3079,2,6,4738
3080,4,8,240
3081,4,9,6435
3082,2,6,2365
3083,4,1,56002
3084,2,10,482
3085,2,6,3111
3086,4,1,36750
3087,2,7,905
3088,3,8,3411
3089,2,6,140
3090,1,7,982
3091,2,2,13213
3092,1,5,542
3093,3,8,273
3094,3,2,15215
3095,3,7,3446
3096,4,9,5792
3097,2,1,2432
3098,1,4,266
3099,2,5,4278
3100,3,1,40194
3101,2,6,1339
3102,1,8,2147
3103,1,7,681
3104,2,9,1955
3105,1,4,1667
3106,4,4,13210
3107,3,6,1401
3108,2,10,2314
3109,3,1,3513
3110,3,9,1419
3111,2,5,3971
3112,4,6,3282
3113,4,9,2618
3114,2,1,19198
3115,2,2,1418
3116,1,8,1480
3117,4,5,593
3118,1,8,1888
3119,3,2,9512
3120,2,2,4731
3121,2,10,1783
3122,4,8,2410
3123,2,3,2702
3124,2,4,5019
3125,3,8,1481
3126,1,7,1240
3127,2,2,9289
3128,1,4,1272
3129,2,5,415
3130,4,3,248
3131,4,7,1551
3132,2,2,6254
3133,3,4,10751
3134,4,8,9097
3135,3,5,698
3136,1,1,1192
3137,2,10,391
3138,2,6,634
3139,4,6,2204
3140,1,3,6035
3141,4,2,27160
3142,2,1,19594
3143,3,5,2897
3144,1,8,1461
3145,4,1,64678
3146,2,4,4322
3147,3,8,4063
3148,2,7,4501
3149,3,10,793
3150,3,3,10647
3151,4,6,10313
3152,4,3,24034
3153,2,7,852
3154,3,8,4246
3155,4,2,30129
3156,4,5,3912
3157,3,6,5251
3158,1,1,2632
3159,4,4,13356
3160,4,2,390
3161,1,1,15264
3162,2,10,161
3163,2,8,1673
3164,4,3,14313
3165,4,3,32358
3166,2,10,1687
3167,3,2,18947
3168,3,8,3223
3169,3,2,16803
3170,3,6,6221
3171,2,5,2232
3172,1,4,200
3173,3,7,1353
3174,3,5,141
3175,3,6,134
3176,1,3,4725
3177,4,5,5962
3178,3,9,1363
3179,2,1,14131
3180,1,9,1576
3181,4,5,588
3182,1,3,4615
3183,2,6,4741
3184,2,6,2614
3185,3,9,1564
3186,2,3,2720
3187,3,2,2862
3188,4,2,28890
3189,2,10,3274
3190,2,8,342
3191,4,2,33140
3192,3,9,169
3193,2,7,998
3194,3,8,2573
3195,2,2,722
3196,4,8,1273
3197,2,6,3314
3198,1,6,635
3199,1,5,3276
3200,1,3,297
3201,3,1,6634
3202,3,3,1145
3203,1,2,1292
3204,4,10,7070
3205,4,1,31506
3206,4,8,4909
3207,2,7,1179
3208,3,10,165
3209,1,7,662
3210,4,6,4239
3211,3,4,2270
3212,2,4,4224
3213,2,2,1697
3214,1,2,160
3215,1,3,1328
3216,4,1,18461
3217,4,9,1132
3218,3,1,9428
3219,1,3,5401
3220,2,8,870
3221,2,10,426
3222,2,6,1206
3223,2,10,2360
3224,3,10,3829
3225,4,3,32106
3226,4,6,11415
3227,3,4,670
3228,1,7,505
3229,2,4,3824
3230,2,8,328
3231,2,5,5277
3232,2,3,6429
3233,4,2,35691
3234,1,9,644
3235,1,7,1857
3236,4,5,1005
3237,4,8,1006
3238,1,9,119
3239,3,5,8454
3240,1,5,131
3241,2,2,3953
3242,1,2,1954
3243,3,1,3708
3244,4,7,7535
3245,2,3,5618
3246,1,8,2534
3247,2,1,5363
3248,4,9,834
3249,4,7,7730
3250,1,4,6221
3251,3,6,1359
3252,2,9,941
3253,4,3,5714
3254,4,8,4616
3255,1,8,2675
3256,1,3,2794
3257,2,10,234
3258,2,10,786
3259,2,5,690
3260,2,2,3904
3261,3,5,5258
3262,3,7,3141
3263,2,2,681
3264,3,8,4949
3265,1,3,440
3266,2,6,5703
3267,3,4,9172
3268,3,8,547
3269,4,4,434
3270,1,2,5905
3271,2,10,804
3272,2,3,2893
3273,4,9,8204
3274,3,7,3444
3275,2,10,854
3276,1,6,2960
3277,4,10,6546
3278,3,7,5067
3279,3,5,2708
3280,4,8,6392
3281,2,8,759
3282,3,1,10612
3283,4,10,2728
3284,4,3,20224
3285,3,5,1516
3286,2,10,1041
3287,3,6,5029
3288,3,6,2185
3289,3,5,711
3290,1,5,569
3291,4,2,11162
3292,4,7,1381
3293,1,4,3895
3294,2,3,2023
3295,1,9,1902
3296,2,2,9460
3297,4,3,29694
3298,1,3,1477
3299,2,10,1389
3300,1,8,768
3301,2,5,4847
3302,2,4,881
3303,1,2,5737
3304,2,1,1400
3305,4,10,3971
3306,3,10,113
3307,1,6,1073
3308,4,5,1644
3309,2,6,1371
3310,2,5,806
3311,3,6,8444
3312,2,2,7106
3313,3,7,5046
3314,4,3,7304
3315,4,3,28743
3316,2,1,1530
3317,4,3,19132
3318,4,3,29217
3319,2,4,6789
3320,2,9,1633
3321,3,10,1430
3322,2,3,5526
3323,1,10,168
3324,1,6,1314
3325,2,4,3944
3326,1,1,4541
3327,2,2,184
3328,1,4,3125
3329,1,1,1031
3330,3,9,1302
3331,3,10,1113
3332,1,9,942
3333,4,10,1058
3334,1,10,157
3335,4,2,15914
3336,3,3,12789
3337,2,6,744
3338,2,10,2382
3339,3,6,5262
3340,1,5,2575
3341,1,8,790
3342,4,9,5542
3343,4,5,12960
3344,1,5,2616
3345,3,4,12291
3346,3,5,2551
3347,1,2,10141
3348,3,5,1402
3349,4,5,167
3350,4,10,5065
3351,2,10,1311
3352,1,10,1702
3353,1,9,836
3354,1,2,8427
3355,3,10,2536
3356,3,1,19539
3357,4,10,2871
3358,2,5,4029
3359,4,2,25537
3360,3,8,4101
3361,4,6,9897
3362,2,8,673
3363,2,9,1693
3364,4,4,14131
3365,3,2,12069
3366,2,1,17691
3367,4,4,19159
3368,3,7,2124
3369,1,1,1533
3370,4,2,24028
3371,2,3,7551
3372,3,8,1543
3373,4,9,2653
3374,4,5,11867
3375,4,9,7175
3376,1,4,3710
3377,4,6,3153
3378,3,5,6225
3379,1,5,1858
3380,2,6,4402
3381,1,5,3628
3382,4,5,1683
3383,4,7,8889
3384,3,5,278
3385,3,7,2880
3386,2,9,2435
3387,4,5,1267
3388,3,2,15295
3389,4,6,517
3390,4,9,2628
3391,2,8,314
3392,1,10,485
3393,4,5,12634
3394,3,8,3618
3395,2,9,379
3396,1,2,1377
3397,2,2,9808
3398,3,10,976
3399,1,8,1919
3400,4,8,2248
3401,3,8,1153
3402,1,7,453
3403,1,5,3617
3404,1,8,774
3405,3,7,3119
3406,4,9,526
3407,1,4,263
3408,1,6,956
3409,3,1,4074
3410,2,7,2754
3411,3,2,6263
3412,2,9,967
3413,2,5,2929
3414,2,10,1358
3415,1,3,2334
3416,3,5,1321
3417,1,9,1351
3418,4,9,5727
3419,4,8,6716
3420,2,10,1261
3421,4,5,4944
3422,1,3,351
3423,4,8,1839
3424,3,3,7022
3425,2,5,479
3426,3,7,663
3427,1,7,589
3428,3,2,7367
3429,3,7,1117
3430,4,6,3325
3431,1,4,4580
3432,2,6,1419
3433,3,2,1399
3434,3,6,327
3435,1,10,1502
3436,1,4,3297
3437,1,1,1168
3438,3,5,4892
3439,4,5,1601
3440,2,3,6939
3441,2,4,3484
3442,2,1,24178
3443,2,10,907
3444,1,3,2228
3445,2,8,2761
3446,1,5,3434
3447,1,3,5908
3448,3,7,690
3449,2,9,349
3450,2,7,3236
3451,3,9,5419
3452,3,1,4732
3453,3,8,1151
3454,1,9,2346
3455,1,10,283
3456,3,4,1052
3457,4,9,8858
3458,4,10,1700
3459,4,1,25548
3460,1,10,1525
3461,4,1,23588
3462,3,7,1467
3463,1,1,14682
3464,4,3,20372
3465,3,10,3596
3466,2,5,1638
3467,2,9,431
3468,1,3,852
3469,3,5,1254
3470,4,3,18346
3471,4,2,4921
3472,4,4,1027
3473,3,9,4880
3474,3,6,943
3475,3,2,443
3476,2,5,2667
3477,4,9,8184
3478,1,8,1598
3479,2,9,2336
3480,1,7,1267
3481,3,8,1615
3482,4,1,43157
3483,4,4,14311
3484,1,2,5131
3485,4,8,2454
3486,1,5,3018
3487,1,2,226
3488,3,1,5304
3489,2,5,1302
3490,2,7,364
3491,2,4,1520
3492,3,4,10037
3493,2,3,1720
3494,3,1,4434
3495,3,1,39810
3496,3,10,2903
3497,4,7,10184
3498,4,1,44337
3499,4,6,181
3500,3,7,1970
3501,1,8,956
3502,4,1,48901
3503,4,9,5743
3504,3,1,9597
3505,4,10,3367
3506,4,9,6280
3507,3,2,18360
3508,1,4,2736
3509,4,8,5621
3510,2,10,1881
3511,1,6,2233
3512,3,2,5638
3513,3,5,1130
3514,2,6,3444
3515,1,8,830
3516,4,5,11985
3517,2,10,201
3518,1,3,5946
3519,1,7,135
3520,2,10,2326
3521,4,5,11934
3522,1,2,991
3523,3,10,208
3524,1,10,769
3525,1,9,1964
3526,3,6,3778
3527,2,2,1193
3528,2,7,4786
3529,3,2,13441
3530,1,4,1786
3531,2,10,869
3532,1,10,381
3533,3,2,15922
3534,1,1,10392
3535,1,9,2561
3536,2,7,1114
3537,1,4,4284
3538,4,8,1780
3539,3,3,2370
3540,3,5,5753
3541,2,10,1824
3542,3,7,908
3543,4,5,12952
3544,1,10,691
3545,1,4,1517
3546,2,2,468
3547,1,10,1326
3548,4,5,9356
3549,4,7,7489
3550,4,6,11894
3551,4,5,8116
3552,1,9,794
3553,1,4,3468
3554,1,7,1691
3555,1,7,706
3556,2,7,2558
3557,4,10,219
3558,2,5,159
3559,3,8,3315
3560,4,9,4255
3561,2,2,3944
3562,3,5,380
3563,2,3,280
3564,1,5,315
3565,4,1,22955
3566,4,1,92407
3567,4,1,50087
3568,1,8,859
3569,4,4,5786
3570,3,7,4009
3571,1,6,870
3572,3,2,12023
3573,3,7,797
3574,4,10,9785
3575,3,4,7079
3576,4,7,10426
3577,4,6,418
3578,4,2,7489
3579,3,9,114
3580,3,3,10171
3581,3,9,3402
3582,2,4,4460
3583,3,9,1020
3584,1,10,664
3585,3,2,8198
3586,4,8,1909
3587,4,10,1006
3588,3,4,492
3589,1,1,18443
3590,1,6,676
3591,2,8,390
3592,3,1,5898
3593,4,7,1580
3594,4,8,5703
3595,4,9,6852
3596,3,3,15043
3597,2,2,1728
3598,4,6,4242
3599,2,1,27388
3600,4,5,7736
3601,2,9,2718
3602,3,1,2651
3603,2,8,841
3604,4,3,26696
3605,1,3,3757
3606,1,7,1679
3607,2,1,4235
3608,4,9,596
3609,1,4,1066
3610,2,10,468
3611,4,4,9194
3612,1,1,818
3613,1,7,213
3614,1,7,414
3615,2,5,1822
3616,3,5,2205
3617,2,2,4974
3618,2,8,2405
3619,4,3,351
3620,3,7,1915
3621,4,2,758
3622,3,7,363
3623,4,10,3700
3624,3,2,331
3625,4,8,8505
3626,1,7,2529
3627,4,3,24889
3628,3,1,15572
3629,2,4,527
3630,1,7,1648
3631,3,5,2780
3632,1,4,2977
3633,3,7,209
3634,2,4,6470
3635,4,4,24885
3636,3,1,32733
3637,2,5,2419
3638,1,1,2896
3639,3,4,623
3640,2,5,739
3641,4,4,1235
3642,2,8,3491
3643,2,7,1682
3644,4,7,4916
3645,4,6,1668
3646,4,1,19712
3647,4,2,8887
3648,1,2,185
3649,3,4,1440
3650,2,8,2942
3651,2,6,4629
3652,4,6,2560
3653,2,1,18256
3654,4,4,2836
3655,3,8,609
3656,3,2,14503
3657,4,7,8594
3658,1,10,697
3659,1,1,16545
3660,2,8,987
3661,4,5,7994
3662,2,7,499
3663,2,9,622
3664,3,9,212
3665,4,2,26878
3666,2,6,3111
3667,2,9,565
3668,2,4,3667
3669,1,4,243
3670,2,4,166
3671,1,10,2049
3672,1,4,1320
3673,3,9,1153
3674,3,4,10268
3675,1,4,2192
3676,1,5,2628
3677,4,9,2359
3678,2,7,3541
3679,2,8,2916
3680,2,8,533
3681,1,3,4207
3682,1,3,1814
3683,2,3,4754
3684,4,8,408
3685,2,8,3126
3686,3,8,4328
3687,4,6,11053
3688,4,7,11624
3689,3,6,626
3690,2,1,15339
3691,3,10,125
3692,3,8,2267
3693,4,7,9901
3694,3,10,1759
3695,2,5,778
3696,1,2,9324
3697,4,10,1958
3698,1,6,572
3699,3,6,6148
3700,2,9,2112
3701,3,10,930
3702,1,7,243
3703,3,2,5121
3704,1,6,258
3705,3,3,9548
3706,3,2,20530
3707,1,3,2610
3708,2,7,3250
3709,1,6,1014
3710,1,4,2803
3711,4,7,6968
3712,1,7,633
3713,4,8,9490
3714,4,3,8524
3715,4,8,11773
3716,1,9,313
3717,2,7,1488
3718,1,7,1562
3719,2,4,5113
3720,2,1,15711
3721,1,6,2952
3722,2,7,2570
3723,3,6,1546
3724,1,9,919
3725,2,1,5072
3726,1,3,3127
3727,2,9,694
3728,4,7,3303
3729,4,8,727
3730,1,2,9314
3731,3,1,1121
3732,1,9,1125
3733,2,3,4870
3734,3,9,561
3735,2,5,1454
3736,4,10,5633
3737,3,2,12939
3738,1,5,508
3739,2,1,19438
3740,1,7,2257
3741,4,2,5979
3742,4,9,7038
3743,3,4,10648
3744,4,4,17207
3745,2,8,1772
3746,2,9,1293
3747,3,2,1581
3748,1,7,253
3749,3,2,3541
3750,1,10,1647
3751,1,9,2638
3752,2,6,1537
3753,2,7,3022
3754,2,2,3789
3755,3,2,1057
3756,3,3,13006
3757,4,1,45601
3758,1,10,690
3759,2,8,2500
3760,4,6,13283
3761,1,6,2673
3762,3,5,469
3763,3,7,4189
3764,2,5,372
3765,3,4,8447
3766,1,1,5405
3767,2,2,6842
3768,3,5,2086
3769,2,5,3140
3770,1,4,1456
3771,3,7,741
3772,3,3,4446
3773,3,9,1395
3774,1,9,2009
3775,2,8,3074
3776,2,3,7547
3777,1,1,14236
3778,4,7,312
3779,1,4,495
3780,4,6,11922
3781,3,6,5360
3782,4,4,5847
3783,2,4,682
3784,3,6,2280
3785,4,9,4600
3786,2,2,5769
3787,2,6,3361
3788,4,9,7572
3789,1,9,476
3790,3,2,1130
3791,2,6,1376
3792,1,8,729
3793,4,8,3719
3794,4,8,1058
3795,2,1,7140
3796,1,7,340
3797,2,8,3054
3798,3,10,3160
3799,1,6,566
3800,3,1,19357
3801,1,2,8406
3802,3,2,5221
3803,3,3,10637
3804,4,1,15596
3805,2,5,3803
3806,1,7,1075
3807,4,6,10053
3808,4,6,10141
3809,1,9,258
3810,4,1,74632
3811,2,7,2375
3812,3,10,1375
3813,1,8,850
3814,4,1,11229
3815,4,9,2091
3816,2,1,14430
3817,2,7,2826
3818,2,10,3014
3819,2,7,223
3820,1,8,478
3821,2,3,7526
3822,3,7,511
3823,4,8,1309
3824,4,8,5778
3825,1,9,675
3826,1,7,739
3827,1,8,549
3828,4,9,1426
3829,4,3,1791
3830,1,8,1752
3831,2,10,132
3832,1,4,5556
3833,2,4,2451
3834,4,1,41086
3835,2,2,2807
3836,4,8,4948
3837,4,3,18496
3838,4,4,11925
3839,1,5,3000
3840,2,4,5950
3841,3,4,8803
3842,4,2,35279
3843,3,6,666
3844,3,1,36363
3845,2,2,1572
3846,2,10,2789
3847,3,1,11836
3848,3,8,112
3849,3,1,27987
3850,2,1,8644
3851,1,10,1225
3852,1,1,5795
3853,3,10,1448
3854,4,9,460
3855,4,1,72886
3856,4,8,12356
3857,4,1,65989
3858,3,7,2842
3859,4,7,8410
3860,2,1,31783
3861,3,6,6261
3862,2,1,26311
3863,1,2,6771
3864,2,3,1280
3865,2,8,302
3866,2,9,2837
3867,1,10,102
3868,3,10,1381
3869,2,1,8449
3870,4,2,26825
3871,1,5,599
3872,3,5,976
3873,3,2,19977
3874,3,10,3247
3875,3,9,2875
3876,2,4,2233
3877,1,4,765
3878,4,1,70234
3879,4,9,5972
3880,1,5,1985
3881,2,9,2308
3882,1,5,3838
3883,4,10,1811
3884,3,2,4961
3885,1,6,141
3886,3,2,7178
3887,4,3,34861
3888,3,1,34334
3889,2,1,21858
3890,3,10,1197
3891,3,6,836
3892,3,5,6366
3893,3,7,3895
3894,4,9,5736
3895,2,6,4139
3896,2,6,4240
3897,4,9,8506
3898,1,2,512
3899,3,7,421
3900,3,3,11465
3901,4,6,976
3902,1,2,8059
3903,4,5,4576
3904,2,7,210
3905,4,8,635
3906,1,10,197
3907,4,10,560
3908,3,4,2860
3909,1,8,924
3910,1,8,867
3911,4,8,1880
3912,1,9,554
3913,4,9,5977
3914,4,6,461
3915,4,3,21525
3916,1,3,942
3917,1,9,799
3918,1,7,985
3919,3,8,4427
3920,1,8,190
3921,4,5,2026
3922,1,9,2196
3923,1,4,644
3924,2,10,718
3925,4,6,9316
3926,4,8,10236
3927,4,2,26461
3928,4,1,26375
3929,4,7,10030
3930,4,1,38826
3931,4,6,9818
3932,4,10,1289
3933,1,7,2628
3934,3,6,3177
3935,2,3,7488
3936,2,8,1693
3937,2,9,1397
3938,4,1,17950
3939,2,1,2950
3940,4,2,4826
3941,4,10,8774
3942,1,9,673
3943,4,5,8696
3944,1,1,3809
3945,1,5,1958
3946,3,8,1314
3947,3,10,2979
3948,1,8,806
3949,4,9,4433
3950,3,2,10852
3951,4,7,3604
3952,2,10,1030
3953,3,10,178
3954,4,3,9272
3955,2,10,227
3956,3,5,7704
3957,2,9,2451
3958,3,4,10022
3959,1,7,1301
3960,1,4,1585
3961,2,6,1625
3962,3,1,33248
3963,4,10,7472
3964,2,5,1505
3965,4,8,3045
3966,4,2,3069
3967,2,3,2270
3968,4,5,7025
3969,3,10,1065
3970,3,6,5656
3971,1,3,2649
3972,1,9,1706
3973,3,4,6920
3974,1,1,11925
3975,2,7,928
3976,4,8,5843
3977,2,4,5492
3978,2,10,1574
3979,4,10,3918
3980,3,4,6280
3981,4,6,7885
3982,4,4,10662
3983,1,5,3460
3984,1,5,3048
3985,2,7,903
3986,2,7,233
3987,2,10,415
3988,3,10,1039
3989,1,8,1387
3990,3,9,3255
3991,4,9,1863
3992,4,10,2076
3993,3,9,549
3994,2,9,860
3995,1,9,646
3996,1,6,2630
3997,1,4,4014
3998,4,9,1427
3999,2,3,1394
4000,1,3,3283
4001,3,6,3639
4002,4,9,2423
4003,1,6,3508
4004,1,2,2880
4005,1,3,945
4006,1,10,1899
4007,4,6,1526
4008,4,4,1176
4009,4,7,7344
4010,2,3,6335
4011,4,10,10075
4012,1,6,1290
4013,4,2,6438
4014,4,2,10588
4015,4,3,6863
4016,4,7,2479
4017,1,4,1881
4018,3,1,3556
4019,2,4,1550
4020,2,8,545
4021,2,4,1940
4022,2,6,2688
4023,4,3,16020
4024,4,2,39310
4025,3,6,742
4026,1,3,1439
4027,2,6,5464
4028,1,8,2819
4029,3,1,21668
4030,3,4,395
4031,1,1,1972
4032,3,3,11926
4033,2,6,495
4034,2,6,116
4035,1,10,888
4036,1,4,1865
4037,1,3,1863
4038,1,7,2904
4039,2,2,10008
4040,4,3,22597
4041,4,6,9365
4042,1,8,723
4043,4,1,28932
4044,2,5,192
4045,2,10,940
4046,2,8,518
4047,1,8,2117
4048,3,6,5680
4049,1,1,5842
4050,2,3,2531
4051,2,3,7652
4052,1,8,636
4053,1,5,1358
4054,2,4,3793
4055,4,10,10027
4056,1,1,947
4057,1,1,13438
4058,3,7,1413
4059,1,7,430
4060,3,9,4587
4061,1,5,1290
4062,3,2,4413
4063,1,4,140
4064,2,2,14629
4065,4,10,4671
4066,3,4,4660
4067,4,4,1702
4068,4,4,14397
4069,1,10,1748
4070,3,5,5517
4071,1,3,505
4072,2,7,1085
4073,4,1,15439
4074,3,8,1113
4075,2,1,10084
4076,1,7,1482
4077,4,8,1235
4078,2,6,272
4079,4,5,10438
4080,1,2,5627
4081,4,9,7145
4082,2,3,1064
4083,4,7,10411
4084,2,9,2732
4085,3,10,3360
4086,1,8,2334
4087,4,4,5277
4088,3,6,2396
4089,1,3,3987
4090,2,9,813
4091,3,5,6207
4092,1,9,2020
4093,1,4,3068
4094,4,8,9536
4095,1,8,1834
4096,3,9,413
4097,1,3,4802
4098,4,2,46664
4099,2,7,2453
4100,1,4,4635
4101,1,5,2785
4102,2,8,1161
4103,3,10,4319
4104,3,10,3601
4105,4,8,3349
4106,1,7,180
4107,4,3,15650
4108,1,10,2057
4109,2,9,2457
4110,2,3,9150
4111,1,8,2120
4112,2,4,2059
4113,3,1,13975
4114,2,5,2819
4115,4,8,5420
4116,2,7,317
4117,1,5,3804
4118,3,6,1556
4119,3,10,3114
4120,2,6,719
4121,1,7,1843
4122,2,3,11136
4123,4,4,11219
4124,2,10,2813
4125,2,3,8126
4126,2,10,2251
4127,4,10,1641
4128,4,7,1641
4129,3,6,6145
4130,1,8,2444
4131,3,2,1909
4132,3,3,11915
4133,4,10,672
4134,4,4,7011
4135,1,4,1284
4136,3,10,3781
4137,1,3,1609
4138,2,7,3607
4139,3,1,30646
4140,3,7,1271
4141,3,9,3614
4142,4,8,10015
4143,1,10,1350
4144,4,2,35017
4145,4,1,55840
4146,4,8,4283
4147,2,2,4838
4148,2,5,1481
4149,3,2,22265
4150,4,5,12474
4151,4,5,19628
4152,3,10,4405
4153,2,7,1126
4154,1,10,1504
4155,4,9,3345
4156,4,4,18176
4157,2,10,356
4158,4,4,13260
4159,4,6,12507
4160,3,10,406
4161,1,6,3546
4162,4,6,6882
4163,4,7,1832
4164,1,8,79
4165,2,6,1144
4166,1,5,3295
4167,3,7,3600
4168,3,1,4757
4169,4,4,5902
4170,1,5,3147
4171,4,9,9925
4172,2,4,746
4173,1,2,7796
4174,1,4,1528
4175,2,8,1010
4176,3,7,4882
4177,2,2,12076
4178,3,5,4714
4179,4,1,26726
4180,1,3,3320
4181,1,1,17864
4182,2,9,681
4183,4,5,11057
4184,3,5,3105
4185,3,2,8666
4186,1,6,2785
4187,1,9,351
4188,1,10,648
4189,2,3,1141
4190,4,6,9563
4191,1,7,1973
4192,2,3,923
4193,2,10,2028
4194,2,8,2676
4195,1,5,163
4196,1,1,12144
4197,4,10,637
4198,3,10,2789
4199,1,5,245
4200,3,3,3626
4201,2,8,340
4202,3,4,9267
4203,4,6,1312
4204,2,8,2004
4205,2,10,1583
4206,4,4,10184
4207,3,10,3271
4208,3,7,4860
4209,4,8,11335
4210,2,6,608
4211,2,2,4407
4212,1,8,1898
4213,1,7,367
4214,3,7,2437
4215,2,8,888
4216,3,6,1422
4217,1,6,1741
4218,3,3,2929
4219,2,4,4639
4220,4,3,20076
4221,2,7,3343
4222,1,9,1261
4223,3,4,1322
4224,3,8,3449
4225,1,8,719
4226,4,5,12060
4227,2,4,4589
4228,1,6,603
4229,1,9,1488
4230,1,3,751
4231,1,5,3751
4232,1,7,350
4233,4,8,7566
4234,2,5,5363
4235,3,10,400
4236,2,8,3431
4237,4,9,1643
4238,4,2,25055
4239,2,6,307
4240,1,8,546
4241,3,4,2909
4242,2,1,1616
4243,3,8,2593
4244,2,7,2976
4245,3,10,2106
4246,1,1,6118
4247,3,2,1387
4248,3,7,3274
4249,3,8,154
4250,3,9,960
4251,3,4,4956
4252,4,1,54334
4253,4,10,6804
4254,2,4,1596
4255,1,10,1144
4256,4,1,85755
4257,1,3,2020
4258,4,10,7440
4259,1,9,1912
4260,4,4,6909
4261,3,4,2918
4262,1,5,2540
4263,4,4,2026
4264,3,1,23472
4265,2,1,6952
4266,1,7,517
4267,3,5,1923
4268,4,4,16627
4269,2,7,947
4270,2,6,2506
4271,1,9,113
4272,2,6,2959
4273,4,6,8602
4274,2,9,803
4275,2,4,4397
4276,4,8,6628
4277,3,2,13369
4278,1,6,1047
4279,1,1,13806
4280,1,1,1965
4281,1,5,3200
4282,1,3,5869
4283,4,7,7016
4284,2,7,3361
4285,4,7,9221
4286,1,2,7064
4287,2,8,758
4288,1,3,6044
4289,1,9,1835
4290,4,8,965
4291,1,5,890
4292,3,1,42103
4293,3,4,8236
4294,2,8,415
4295,3,4,2503
4296,1,6,125
4297,1,8,3043
4298,2,5,121
4299,4,9,514
4300,1,7,2255
4301,3,3,1470
4302,1,5,505
4303,3,4,2596
4304,3,3,9600
4305,3,10,2108
4306,2,4,1519
4307,3,8,3427
4308,4,3,5947
4309,3,8,1819
4310,4,2,9867
4311,2,4,4170
4312,4,7,7349
4313,2,6,1103
4314,1,4,1727
4315,2,8,1202
4316,1,3,2318
4317,3,6,5412
4318,1,4,4437
4319,4,9,2996
4320,4,9,7605
4321,1,7,2946
4322,3,8,359
4323,1,9,114
4324,1,3,6161
4325,4,4,5574
4326,4,6,4824
4327,2,4,4231
4328,1,9,1577
4329,3,8,586
4330,4,9,5587
4331,3,10,3181
4332,2,10,419
4333,4,3,2982
4334,2,8,295
4335,4,3,16728
4336,1,4,267
4337,3,8,310
4338,1,2,967
4339,3,2,12004
4340,3,6,3786
4341,3,8,4326
4342,1,5,2617
4343,3,2,15714
4344,1,4,3342
4345,1,4,3621
4346,2,10,664
4347,4,10,2578
4348,2,4,5486
4349,4,4,8667
4350,1,8,429
4351,3,2,172
4352,2,7,2293
4353,1,9,81
4354,3,3,9874
4355,3,2,5787
4356,3,10,1106
4357,1,5,3151
4358,4,9,6891
4359,4,2,2675
4360,3,5,1974
4361,3,8,3723
4362,3,9,172
4363,1,5,1971
4364,1,5,256
4365,3,7,3344
4366,2,7,2213
4367,4,1,53461
4368,3,1,1420
4369,3,8,509
4370,4,9,1844
4371,4,2,3672
4372,4,8,8160
4373,4,8,5213
4374,1,6,3811
4375,2,2,3995
4376,3,3,484
4377,2,9,620
4378,2,1,21562
4379,2,8,620
4380,4,10,446
4381,3,5,3777
4382,1,5,3153
4383,2,1,3840
4384,1,3,3841
4385,1,6,2297
4386,3,2,750
4387,3,7,2106
4388,4,2,27120
4389,3,4,693
4390,1,8,1877
